FID,OBJECTID,Project,PointYrID,PointID,Fire_ID,Fire_year,Year,TSB,Burned,TreeCov,ShrubCov,LiveBA,SnagBA,lat,long,burnsev,CC_BurnSev,Distance,slope,elevation,aspect,visits,WHRsize2,WHRtype2,WHRdens2,WHRtype15,Src_Year15,WHRsize15,WHRdens15,F2001star_,F2004stray,F2006bould,F2007moonl,F2008cold_,F2008cub_b,F2008rich_,F2012CHIPS,F2014bald_,F2000storr,dropped,prefire,cc_storrie,cc_bald,cc_boulder,cc_chips,cc_cold,cc_cub,cc_moonlit,cc_rich,cc_star,cc_straylo
54,55,PLAS,214_6.2010,214_6,2000Storrie,2000,2010,10,1,12,15,4,2.4,40.065966,-121.234852,378.49,0,0,19,1445,201,2,4,DFR,2,JPN,2005,4,P,0,0,0,0,0,0,0,0,0,0,0, ,7.09939003,0,0,0,0,0,0,0,0,0
55,56,PLAS,214_6.2011,214_6,2000Storrie,2000,2011,11,1,8,14,6,2.4,40.065966,-121.234852,378.49,0,0,19,1445,201,2,4,DFR,2,JPN,2005,4,P,0,0,0,0,0,0,0,0,0,0,0, ,7.09939003,0,0,0,0,0,0,0,0,0
56,57,PLAS,214_9.2013,214_9,2012Chips,2012,2013,1,1,18,5,13,2,40.071094,-121.230814,78.49,0,0,31,1425,18,2,5,SMC,3,SMC,2005,4,P,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,7.572919846,0,0,0,0,0,0
57,58,PLAS,214_9.2014,214_9,2012Chips,2012,2014,2,1,13,6,13,2,40.071094,-121.230814,78.49,0,0,31,1425,18,2,5,SMC,3,SMC,2005,4,P,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,7.572919846,0,0,0,0,0,0
58,59,PLAS,214_9.2015,214_9,2012Chips,2012,2015,3,1,8,6,14,3.2,40.071094,-121.230814,78.49,0,0,31,1425,18,2,5,SMC,3,SMC,2005,4,P,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,7.572919846,0,0,0,0,0,0
59,60,PLAS,222_1.2013,222_1,2012Chips,2012,2013,1,1,21,9,12,6,40.103637,-121.062064,327.44,0,0,10,1693,316,2,5,SMC,3,SMC,2005,5,D,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,17.1371994,0,0,0,0,0,0
60,61,PLAS,222_10.2013,222_10,2012Chips,2012,2013,1,1,60,3,23,1.4,40.102535,-121.054869,205.14,0,0,25,1797,310,2,5,WFR,4,SMC,2005,5,D,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,4.181650162,0,0,0,0,0,0
61,62,PLAS,222_10.2014,222_10,2012Chips,2012,2014,2,1,48,8,21,4.7,40.102535,-121.054869,205.14,0,0,25,1797,310,2,5,WFR,4,SMC,2005,5,D,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,4.181650162,0,0,0,0,0,0
62,63,PLAS,222_10.2015,222_10,2012Chips,2012,2015,3,1,35,12,19,8,40.102535,-121.054869,205.14,0,0,25,1797,310,2,5,WFR,4,SMC,2005,5,D,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,4.181650162,0,0,0,0,0,0
63,64,PLAS,222_11.2013,222_11,2012Chips,2012,2013,1,1,45,10,18,4.2,40.101379,-121.057401,273.08,0,0,26,1763,264,2,5,SMC,4,SMC,2005,5,D,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,8.640060425,0,0,0,0,0,0
64,65,PLAS,222_12.2013,222_12,2012Chips,2012,2013,1,1,23,10,8,6.6,40.100298,-121.060094,624.86,0,0,26,1693,248,2,4,SMC,2,SMC,2005,4,P,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,72.4509964,0,0,0,0,0,0
65,66,PLAS,222_2.2013,222_2,2012Chips,2012,2013,1,1,25,20,10,3.4,40.104371,-121.059591,350.56,0,0,27,1700,324,2,5,SMC,4,SMC,2005,5,M,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,32.69340134,0,0,0,0,0,0
66,67,PLAS,222_2.2014,222_2,2012Chips,2012,2014,2,1,22,19,9,3.1,40.104371,-121.059591,350.56,0,0,27,1700,324,2,5,SMC,4,SMC,2005,5,M,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,32.69340134,0,0,0,0,0,0
67,68,PLAS,222_2.2015,222_2,2012Chips,2012,2015,3,1,18,17,8,2.8,40.104371,-121.059591,350.56,0,0,27,1700,324,2,5,SMC,4,SMC,2005,5,M,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,32.69340134,0,0,0,0,0,0
68,69,PLAS,222_3.2013,222_3,2012Chips,2012,2013,1,1,25,22,11,4.2,40.105762,-121.057147,305.4,0,0,28,1700,314,2,5,SMC,4,SMC,2005,5,M,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,19.14209938,0,0,0,0,0,0
69,70,PLAS,222_3.2014,222_3,2012Chips,2012,2014,2,1,17,26,11,5.9,40.105762,-121.057147,305.4,0,0,28,1700,314,2,5,SMC,4,SMC,2005,5,M,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,19.14209938,0,0,0,0,0,0
70,71,PLAS,222_3.2015,222_3,2012Chips,2012,2015,3,1,8,30,11,7.6,40.105762,-121.057147,305.4,0,0,28,1700,314,2,5,SMC,4,SMC,2005,5,M,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,19.14209938,0,0,0,0,0,0
71,72,PLAS,222_4.2013,222_4,2012Chips,2012,2013,1,1,40,8,21,1.4,40.106865,-121.05471,211.39,0,0,18,1738,286,2,5,SMC,4,SMC,2005,5,M,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,1.826990008,0,0,0,0,0,0
72,73,PLAS,222_4.2014,222_4,2012Chips,2012,2014,2,1,30,12,21,1.9,40.106865,-121.05471,211.39,0,0,18,1738,286,2,5,SMC,4,SMC,2005,5,M,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,1.826990008,0,0,0,0,0,0
73,74,PLAS,222_4.2015,222_4,2012Chips,2012,2015,3,1,20,15,21,2.4,40.106865,-121.05471,211.39,0,0,18,1738,286,2,5,SMC,4,SMC,2005,5,M,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,1.826990008,0,0,0,0,0,0
74,75,PLAS,222_5.2013,222_5,2012Chips,2012,2013,1,1,34,8,19,0.6,40.108078,-121.052353,187.41,0,0,10,1764,250,2,5,WFR,3,WFR,2005,4,P,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,2.058710098,0,0,0,0,0,0
75,76,PLAS,222_5.2014,222_5,2012Chips,2012,2014,2,1,27,9,16,0.9,40.108078,-121.052353,187.41,0,0,10,1764,250,2,5,WFR,3,WFR,2005,4,P,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,2.058710098,0,0,0,0,0,0
76,77,PLAS,222_5.2015,222_5,2012Chips,2012,2015,3,1,20,10,13,1.2,40.108078,-121.052353,187.41,0,0,10,1764,250,2,5,WFR,3,WFR,2005,4,P,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,2.058710098,0,0,0,0,0,0
77,78,PLAS,222_6.2013,222_6,2012Chips,2012,2013,1,1,34,11,21,0,40.109156,-121.050022,225.94,0,0,4,1778,147,2,5,WFR,3,SMC,2005,4,M,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,6.600259781,0,0,0,0,0,0
78,79,PLAS,222_6.2014,222_6,2012Chips,2012,2014,2,1,27,12,21,0,40.109156,-121.050022,225.94,0,0,4,1778,147,2,5,WFR,3,SMC,2005,4,M,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,6.600259781,0,0,0,0,0,0
79,80,PLAS,222_6.2015,222_6,2012Chips,2012,2015,3,1,20,12,21,0,40.109156,-121.050022,225.94,0,0,4,1778,147,2,5,WFR,3,SMC,2005,4,M,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,6.600259781,0,0,0,0,0,0
80,81,PLAS,223_1.2013,223_1,2012Chips,2012,2013,1,1,15,6,16,8.8,40.161045,-121.105273,361.86,0,0,9,1453,78,2,5,SMC,4,WFR,2005,4,D,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,26.5461998,0,0,0,0,0,0
81,82,PLAS,223_10.2013,223_10,2012Chips,2012,2013,1,1,25,3,19,2.4,40.159723,-121.100473,228,0,0,78,1393,92,2,5,SMC,4,WFR,2005,4,M,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,1.810279965,0,0,0,0,0,0
82,83,PLAS,223_10.2014,223_10,2012Chips,2012,2014,2,1,33,3,17,2.4,40.159723,-121.100473,228,0,0,78,1393,92,2,5,SMC,4,WFR,2005,4,M,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,1.810279965,0,0,0,0,0,0
83,84,PLAS,223_10.2015,223_10,2012Chips,2012,2015,3,1,40,3,15,2.4,40.159723,-121.100473,228,0,0,78,1393,92,2,5,SMC,4,WFR,2005,4,M,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,1.810279965,0,0,0,0,0,0
84,85,PLAS,223_11.2013,223_11,2012Chips,2012,2013,13,1,45,3,27,1.2,40.162009,-121.10143,145.17,0,0,24,1440,85,2,4,SMC,4,WFR,2005,4,M,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0.760903001,0,0,0,0,0,0
85,86,PLAS,223_11.2014,223_11,2012Chips,2012,2014,14,1,45,4,22,2.4,40.162009,-121.10143,145.17,0,0,24,1440,85,2,4,SMC,4,WFR,2005,4,M,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0.760903001,0,0,0,0,0,0
86,87,PLAS,223_11.2015,223_11,2012Chips,2012,2015,15,1,44,4,17,3.6,40.162009,-121.10143,145.17,0,0,24,1440,85,2,4,SMC,4,WFR,2005,4,M,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0.760903001,0,0,0,0,0,0
