"","PointYrID","PointID","FIRE_ID","Fire_year","Year","TSB","TreeCov","ShrubCov","SnagBA","lat","long","burnsev","slope","elevation","aspect","visits","prefire","Burned"
"115","224_5.2014","224_5","2012Chips",2012,2014,2,34,10,4.2,40.108234,-121.121793,12.48260021,11,1265,321,2,"late closed",1
"116","224_5.2015","224_5","2012Chips",2012,2015,3,20,17,3.8,40.108234,-121.121793,12.48260021,11,1265,321,2,"late closed",1
"117","224_6.2013","224_6","2012Chips",2012,2013,1,44,4,2.4,40.106118,-121.1213,10.02690029,5,1277,296,2,"late closed",1
"118","224_6.2014","224_6","2012Chips",2012,2014,2,47,3,2.7,40.106118,-121.1213,10.02690029,5,1277,296,2,"late closed",1
"119","224_6.2015","224_6","2012Chips",2012,2015,3,50,2,3,40.106118,-121.1213,10.02690029,5,1277,296,2,"late closed",1
"120","224_8.2013","224_8","2012Chips",2012,2013,1,35,1,1.8,40.111969,-121.117678,52.78480148,9,1292,178,2,"late closed",1
"121","224_8.2014","224_8","2012Chips",2012,2014,2,29,4,3.7,40.111969,-121.117678,52.78480148,9,1292,178,2,"late closed",1
"122","224_8.2015","224_8","2012Chips",2012,2015,3,23,7,5.6,40.111969,-121.117678,52.78480148,9,1292,178,2,"late closed",1
"123","314_5.2013","314_5","2012Chips",2012,2013,1,1,6,5.6,40.069446,-121.087377,99.67459869,12,1654,74,2,"late closed",1
"124","314_5.2014","314_5","2012Chips",2012,2014,2,1,6,4.3,40.069446,-121.087377,99.67459869,12,1654,74,2,"late closed",1
"125","314_5.2015","314_5","2012Chips",2012,2015,3,1,5,3,40.069446,-121.087377,99.67459869,12,1654,74,2,"late closed",1
"126","314_7.2013","314_7","2012Chips",2012,2013,1,14,15,2.6,40.06562,-121.083216,61.13510132,3,1655,254,2,"open",1
"127","314_7.2014","314_7","2012Chips",2012,2014,2,15,10,2.2,40.06562,-121.083216,61.13510132,3,1655,254,2,"open",1
"128","314_7.2015","314_7","2012Chips",2012,2015,3,15,4,1.8,40.06562,-121.083216,61.13510132,3,1655,254,2,"open",1
"129","314_8.2013","314_8","2012Chips",2012,2013,1,12,16,1.4,40.065219,-121.08617,39.70289993,2,1653,64,2,"Shrub",1
"130","314_8.2014","314_8","2012Chips",2012,2014,2,14,11,1.3,40.065219,-121.08617,39.70289993,2,1653,64,2,"Shrub",1
"131","314_8.2015","314_8","2012Chips",2012,2015,3,15,6,1.2,40.065219,-121.08617,39.70289993,2,1653,64,2,"Shrub",1
"132","BVR1_11.2013","BVR1_11","2012Chips",2012,2013,1,50,5,0,40.143144,-121.165122,7.27e-05,32,1287,253,2,"Shrub",1
"133","BVR1_11.2014","BVR1_11","2012Chips",2012,2014,2,32,6,0,40.143144,-121.165122,7.27e-05,32,1287,253,2,"Shrub",1
"134","BVR1_11.2015","BVR1_11","2012Chips",2012,2015,3,13,7,0,40.143144,-121.165122,7.27e-05,32,1287,253,2,"Shrub",1
"135","BVR1_2.2013","BVR1_2","2012Chips",2012,2013,1,50,8,0.6,40.127388,-121.147073,0,17,1281,231,2,"late closed",1
"136","BVR1_2.2014","BVR1_2","2012Chips",2012,2014,2,43,11,1.7,40.127388,-121.147073,0,17,1281,231,2,"late closed",1
"137","BVR1_2.2015","BVR1_2","2012Chips",2012,2015,3,36,14,2.8,40.127388,-121.147073,0,17,1281,231,2,"late closed",1
"138","BVR1_3.2013","BVR1_3","2012Chips",2012,2013,1,40,4,1.8,40.129175,-121.149548,0.589577019,20,1283,222,2,"mid closed",1
"139","BVR1_3.2014","BVR1_3","2012Chips",2012,2014,2,34,7,1.4,40.129175,-121.149548,0.589577019,20,1283,222,2,"mid closed",1
"140","BVR1_3.2015","BVR1_3","2012Chips",2012,2015,3,28,9,1,40.129175,-121.149548,0.589577019,20,1283,222,2,"mid closed",1
"141","BVR1_4.2013","BVR1_4","2012Chips",2012,2013,1,37,4,3,40.129963,-121.1532,3.31930995,5,1279,166,2,"late closed",1
"142","BVR1_4.2014","BVR1_4","2012Chips",2012,2014,2,35,4,4.7,40.129963,-121.1532,3.31930995,5,1279,166,2,"late closed",1
"143","BVR1_4.2015","BVR1_4","2012Chips",2012,2015,3,32,3,6.4,40.129963,-121.1532,3.31930995,5,1279,166,2,"late closed",1
"144","BVR1_7.2013","BVR1_7","2012Chips",2012,2013,1,50,6,0.6,40.134555,-121.159813,0.148224995,6,1278,235,2,"mid closed",1
"145","BVR1_7.2014","BVR1_7","2012Chips",2012,2014,2,42,5,0.8,40.134555,-121.159813,0.148224995,6,1278,235,2,"mid closed",1
"146","BVR1_7.2015","BVR1_7","2012Chips",2012,2015,3,33,4,1,40.134555,-121.159813,0.148224995,6,1278,235,2,"mid closed",1
"147","BVR1_8.2013","BVR1_8","2012Chips",2012,2013,1,60,5,1.8,40.13629,-121.161292,0.00342502,8,1279,222,2,"open",1
"148","BVR1_8.2014","BVR1_8","2012Chips",2012,2014,2,55,4,2.1,40.13629,-121.161292,0.00342502,8,1279,222,2,"open",1
"149","BVR1_8.2015","BVR1_8","2012Chips",2012,2015,3,50,2,2.4,40.13629,-121.161292,0.00342502,8,1279,222,2,"open",1
"150","BVR2_1.2013","BVR2_1","2012Chips",2012,2013,1,38,7,3,40.112383,-121.16088,32.86109924,45,1436,100,2,"mid closed",1
"151","BVR2_1.2014","BVR2_1","2012Chips",2012,2014,2,34,19,4.7,40.112383,-121.16088,32.86109924,45,1436,100,2,"mid closed",1
"152","BVR2_1.2015","BVR2_1","2012Chips",2012,2015,3,30,30,6.4,40.112383,-121.16088,32.86109924,45,1436,100,2,"mid closed",1
"153","BVR2_2.2013","BVR2_2","2012Chips",2012,2013,1,25,5,3.5,40.110271,-121.161747,11.77999973,33,1416,57,2,"mid closed",1
"154","BVR2_2.2014","BVR2_2","2012Chips",2012,2014,2,30,25,2.1,40.110271,-121.161747,11.77999973,33,1416,57,2,"mid closed",1
"155","BVR2_2.2015","BVR2_2","2012Chips",2012,2015,3,35,45,0.8,40.110271,-121.161747,11.77999973,33,1416,57,2,"mid closed",1
"156","BVR2_3.2013","BVR2_3","2012Chips",2012,2013,1,30,7,3.5,40.109784,-121.158909,21.13459969,43,1434,237,2,"late closed",1
"157","BVR2_3.2014","BVR2_3","2012Chips",2012,2014,2,25,11,3.7,40.109784,-121.158909,21.13459969,43,1434,237,2,"late closed",1
"158","BVR2_3.2015","BVR2_3","2012Chips",2012,2015,3,20,15,3.8,40.109784,-121.158909,21.13459969,43,1434,237,2,"late closed",1
"159","BVR2_4.2013","BVR2_4","2012Chips",2012,2013,1,50,5,3.4,40.108995,-121.156279,1.678050041,25,1406,116,2,"late closed",1
"160","BVR2_4.2014","BVR2_4","2012Chips",2012,2014,2,40,6,5.4,40.108995,-121.156279,1.678050041,25,1406,116,2,"late closed",1
"161","BVR2_4.2015","BVR2_4","2012Chips",2012,2015,3,30,6,7.4,40.108995,-121.156279,1.678050041,25,1406,116,2,"late closed",1
"162","BVR2_5.2013","BVR2_5","2012Chips",2012,2013,1,20,12,0.6,40.107207,-121.158286,21.00169945,36,1444,9,2,"late closed",1
"163","BVR2_5.2014","BVR2_5","2012Chips",2012,2014,2,14,19,1.9,40.107207,-121.158286,21.00169945,36,1444,9,2,"late closed",1
"164","BVR2_5.2015","BVR2_5","2012Chips",2012,2015,3,8,25,3.2,40.107207,-121.158286,21.00169945,36,1444,9,2,"late closed",1
"165","BVR2_6.2013","BVR2_6","2012Chips",2012,2013,1,18,30,2.4,40.10685,-121.155093,23.28890038,25,1451,76,2,"open",1
"166","BVR2_6.2014","BVR2_6","2012Chips",2012,2014,2,14,24,2.5,40.10685,-121.155093,23.28890038,25,1451,76,2,"open",1
"167","BVR2_6.2015","BVR2_6","2012Chips",2012,2015,3,10,18,2.6,40.10685,-121.155093,23.28890038,25,1451,76,2,"open",1
"168","BVR2_7.2013","BVR2_7","2012Chips",2012,2013,1,35,11,2.4,40.107209,-121.152185,6.981349945,32,1467,339,2,"open",1
"169","BVR2_7.2014","BVR2_7","2012Chips",2012,2014,2,25,13,1.7,40.107209,-121.152185,6.981349945,32,1467,339,2,"open",1
"170","BVR2_7.2015","BVR2_7","2012Chips",2012,2015,3,15,15,1,40.107209,-121.152185,6.981349945,32,1467,339,2,"open",1
"171","BVR2_8.2013","BVR2_8","2012Chips",2012,2013,1,20,5,11.2,40.106506,-121.149365,70.85820007,35,1461,120,2,"open",1
"172","BVR2_8.2014","BVR2_8","2012Chips",2012,2014,2,16,25,9.3,40.106506,-121.149365,70.85820007,35,1461,120,2,"open",1
"173","BVR2_8.2015","BVR2_8","2012Chips",2012,2015,3,12,45,7.4,40.106506,-121.149365,70.85820007,35,1461,120,2,"open",1
"174","BVR2_9.2013","BVR2_9","2012Chips",2012,2013,1,32,25,1,40.105149,-121.151842,10.19939995,24,1485,124,2,"young.forest",1
"175","BVR2_9.2014","BVR2_9","2012Chips",2012,2014,2,36,21,1.2,40.105149,-121.151842,10.19939995,24,1485,124,2,"young.forest",1
"176","BVR2_9.2015","BVR2_9","2012Chips",2012,2015,3,40,17,1.4,40.105149,-121.151842,10.19939995,24,1485,124,2,"young.forest",1
"177","BVR3_1.2013","BVR3_1","2012Chips",2012,2013,1,17,3,2.3,40.168583,-121.166127,45.62129974,56,1578,245,2,"late closed",1
"178","BVR3_1.2014","BVR3_1","2012Chips",2012,2014,2,15,10,3.7,40.168583,-121.166127,45.62129974,56,1578,245,2,"late closed",1
"179","BVR3_1.2015","BVR3_1","2012Chips",2012,2015,3,13,16,5,40.168583,-121.166127,45.62129974,56,1578,245,2,"late closed",1
"180","BVR3_10.2013","BVR3_10","2012Chips",2012,2013,1,25,4,2.8,40.152945,-121.157743,0.090279102,44,1559,246,2,"late closed",1
"181","BVR3_10.2014","BVR3_10","2012Chips",2012,2014,2,20,5,2.8,40.152945,-121.157743,0.090279102,44,1559,246,2,"late closed",1
"182","BVR3_10.2015","BVR3_10","2012Chips",2012,2015,3,15,6,2.8,40.152945,-121.157743,0.090279102,44,1559,246,2,"late closed",1
"183","BVR3_11.2013","BVR3_11","2012Chips",2012,2013,1,20,2,5.8,40.150564,-121.157561,20.0053997,32,1525,246,2,"late closed",1
"184","BVR3_11.2014","BVR3_11","2012Chips",2012,2014,2,14,2,10.2,40.150564,-121.157561,20.0053997,32,1525,246,2,"late closed",1
"185","BVR3_11.2015","BVR3_11","2012Chips",2012,2015,3,8,2,14.6,40.150564,-121.157561,20.0053997,32,1525,246,2,"late closed",1
"186","BVR3_12.2013","BVR3_12","2012Chips",2012,2013,1,8,3,1,40.148955,-121.154975,44.66930008,37,1554,243,2,"late closed",1
"187","BVR3_12.2014","BVR3_12","2012Chips",2012,2014,2,8,6,0.6,40.148955,-121.154975,44.66930008,37,1554,243,2,"late closed",1
"188","BVR3_12.2015","BVR3_12","2012Chips",2012,2015,3,8,9,0.2,40.148955,-121.154975,44.66930008,37,1554,243,2,"late closed",1
"189","BVR3_2.2013","BVR3_2","2012Chips",2012,2013,1,5,4,17,40.166594,-121.166862,96.11219788,40,1540,265,2,"Shrub",1
"190","BVR3_2.2014","BVR3_2","2012Chips",2012,2014,2,5,14,14,40.166594,-121.166862,96.11219788,40,1540,265,2,"Shrub",1
"191","BVR3_2.2015","BVR3_2","2012Chips",2012,2015,3,5,23,11,40.166594,-121.166862,96.11219788,40,1540,265,2,"Shrub",1
